3
12
Dasher 3 8 5 9 6 false
Dancer 7 4 5 2 1 false
Prancer 4 9 0 0 5 true
Vixen 6 7 6 6 6 true
Donner 1 7 5 1 4 true
Cupid 2 4 7 3 0 true
Rudolph 1 7 1 8 0 false
Blitzen 4 7 6 5 3 true
Comet 5 6 6 5 1 false
Mistletoe 0 9 6 6 7 true
Frosty 2 3 6 1 6 false
Candycane 5 7 8 8 3 true
1
Nick 38 75 61 38 19 true
23
Sammy 100 0 0 0 0 false
Ariz -10 -10 -10 -10 -10 true
Max 4 7 23 53 7 true
Meggie 27 41 41 68 20 false
Spencer 73 20 37 59 96 true
Asher 4 4 48 75 49 true
Will 56 41 20 90 57 false
Krish 97 92 49 32 22 true
Anand 97 92 49 32 22 false
Steven 73 2 35 67 54 false
Tristan 92 98 41 6 83 false
Raul 22 28 7 63 77 false
Sritha 35 7 42 15 75 true
William 25 3 94 97 14 true
Ethan 84 44 75 69 8 false
Gabrielle 81 86 0 81 90 false
Hien 49 36 19 94 85 false
Aayush 68 58 30 65 11 false
Ben 47 42 46 65 58 false
Sidh 23 16 33 16 36 true
Ashay 86 88 83 49 21 false
Eileene 31 70 86 64 27 false
Angela 83 58 23 30 77 true
