104
3
Ben Armstrong 100.0 27 100 57.5
Ben Yonas 98.0 7 89 56.8
Ben Gonzales 98.00 0 56 57
6
Ben Armstrong 100.1 27 100 57.5
Ben Yonas 98.0 7 89 56.8
Ben Gonzales 78 0 56 57
Ben Davis 78 8 9 35
Ben Stiller 78 44 55 14
Ben Franklin 100 44 45 5000000
12
Ben Armstrong 100.1 32 414 24
Ben Yonas 20 25 25 25  
Ben Gonzales 10 10 10 10 
Ben Davis 21.3 12 14 18.6
Ben Jackson 18 7 12 32.5
Ben Mitchell 100.3 32 414 21
Ben MeHere 100.2 3 32 414 21
Ben Alexander 5 2 47 41
Ben Bui 34.3 2521 2543 58
Ben Binzley 2 2 2 2 
Ben Norman 1 1 1 1 
Ben Bakhit 0 0 0 0
10
Ben Rasppberry 78 16 24 15
Ben Squid 35.2 11 93 12.7 
Ben Aayyysh 55.5 13 72 74.3
Ben Ranik 64.9 26 95 59.4 
Ben Jenga 89.4 77 55 0.3
Ben Boi 84 31 62 39.3
Ben Stefean 99.2 71 70 80.5 
Ben Malek 74.1 10 33 54.4
Ben Charlie 70 23 11 98
Ben Shrittey 44.5 9 56 82.9
17
Ben Malek 73.1 23 53 15.5
Ben JohnChris 38.7 52 83 37.2
Ben Binzly 99.0 56 90 57.6
Ben Mitch 44.9 88 90 65.5
Ben Dan 18.6 40 87 36.9
Ben Huang 49.7 71 90 38.9
Ben hello 75.5 28 66 39.3
Ben Charles 44.4 73 80 28.1
Ben Boi 56.9 83 99 56.7
Ben ChrisJohn 99.2 56 91 46.6
Ben Weaspoppy 95.2 84 85 98.0
Ben Raspberry 10.0 36 88 18.4
Ben Yonas 2.4 50 63 11.1
Ben HelloWorld 97.8 43 69 78.2
Ben Chakarayara 75.1 24 39 93.5
Ben Amel 78.3 22 27 71.6
Ben Stefan 35.5 0 81 21.9
15
Ben Mitch 33.0 62 67 69.8
Ben Squid 30.3 86 87 1.5
Ben Charles 65.6 7 90 8.6
Ben Armstrong 43.2 93 94 4.9
Ben HelloWorld 12.2 38 59 45.9
Ben Huang 52.9 53 65 12.6
Ben Chakarayara 12.6 90 93 91.4
Ben Binzly 77.1 56 69 38.1
Ben Raspberry 77.0 14 58 32.5
Ben Gupta 88.9 55 78 97.0
Ben Dan 43.6 64 98 80.7
Ben JohnChris 65.6 40 48 69.8
Ben ChrisJohn 81.4 52 95 77.3
Ben hello 85.9 0 7 13.0
Ben Malek 71.6 17 42 36.5
1
Ben Norman 86.5 52 53 98.0
8
Ben Weaspoppy 32.7 15 75 43.2
Ben Norman 27.5 81 88 13.8
Ben Chakarayara 61.3 91 94 19.0
Ben Charles 53.9 39 99 39.1
Ben Huang 70.9 92 94 95.4
Ben Stefan 96.3 28 60 40.5
Ben hello 50.4 50 77 58.1
Ben Amel 89.3 12 13 21.2
6
Ben JohnChris 75.8 9 99 60.5
Ben Dan 2.2 56 61 10.6
Ben Squid 77.1 67 85 68.4
Ben Mitch 75.2 71 99 34.0
Ben Chakarayara 75.7 48 94 40.2
Ben Binzly 47.6 62 68 32.0
2
Ben ChrisJohn 99.4 55 84 43.3
Ben Chakarayara 1.1 82 88 23.1
14
Ben Weaspoppy 1.3 99 99 10.2
Ben Squid 29.9 29 88 74.2
Ben Huang 0.1 46 48 92.0
Ben Stefan 54.3 60 88 93.0
Ben Norman 66.6 21 71 74.6
Ben Boi 91.5 0 12 45.5
Ben Mitch 81.2 76 79 11.4
Ben Gupta 35.8 28 58 72.3
Ben Charles 91.3 24 86 85.8
Ben JohnChris 3.8 79 95 21.5
Ben Amel 64.1 85 98 82.1
Ben Armstrong 76.9 38 74 69.4
Ben Binzly 96.8 21 45 39.1
Ben Yonas 73.7 75 95 53.3
20
Ben Weaspoppy 91.6 95 96 60.6
Ben Boi 82.6 43 60 35.4
Ben Yonas 24.6 73 80 38.9
Ben ChrisJohn 8.0 58 59 84.6
Ben Chakarayara 87.9 91 92 59.7
Ben Mitch 82.6 84 98 70.1
Ben Gupta 2.0 13 74 62.2
Ben Amel 37.4 47 54 22.3
Ben Dan 25.0 88 92 21.9
Ben Armstrong 15.8 57 98 45.7
Ben Binzly 25.8 15 30 18.6
Ben Raspberry 57.7 19 39 6.8
Ben Malek 15.8 8 93 2.8
Ben Stefan 71.9 34 57 58.3
Ben Charles 61.9 77 93 92.3
Ben Norman 86.7 6 8 57.3
Ben Squid 79.2 32 49 34.8
Ben Huang 72.6 36 74 7.9
Ben JohnChris 43.6 56 85 38.2
Ben HelloWorld 58.6 14 82 78.8
12
Ben Charles 11.1 7 40 86.5
Ben Armstrong 63.0 96 97 19.9
Ben Amel 9.9 6 25 86.3
Ben Mitch 38.0 9 20 27.6
Ben HelloWorld 71.5 95 99 52.5
Ben hello 36.2 11 97 66.5
Ben JohnChris 0.4 65 72 37.0
Ben Malek 67.0 0 51 4.7
Ben Binzly 12.0 9 97 45.1
Ben Gupta 33.9 12 76 26.4
Ben Boi 20.0 87 99 18.6
Ben Raspberry 80.7 3 29 36.2
7
Ben HelloWorld 67.6 5 35 32.8
Ben Squid 5.8 71 87 47.8
Ben Yonas 98.7 33 61 54.7
Ben Amel 46.5 89 93 50.4
Ben Huang 44.8 77 94 38.9
Ben Binzly 81.7 88 90 78.2
Ben Mitch 24.1 29 57 51.8
8
Ben Boi 97.9 16 34 88.1
Ben Huang 52.9 96 98 8.2
Ben Chakarayara 62.4 75 87 82.8
Ben Mitch 5.2 14 50 30.2
Ben hello 0.9 27 80 45.4
Ben Malek 24.3 56 92 49.0
Ben Amel 10.0 22 71 87.3
Ben Norman 45.3 12 30 59.5
16
Ben ChrisJohn 30.5 94 98 0.5
Ben Dan 52.2 62 90 26.0
Ben Boi 12.9 10 45 63.9
Ben Amel 62.7 61 68 12.9
Ben Weaspoppy 0.8 98 99 33.7
Ben Squid 61.4 26 62 75.9
Ben Stefan 85.5 96 96 72.5
Ben Chakarayara 5.3 27 54 24.2
Ben Armstrong 76.0 23 52 41.9
Ben Yonas 81.3 39 39 61.4
Ben Malek 75.5 84 87 55.7
Ben Huang 11.9 93 96 8.5
Ben HelloWorld 89.7 9 23 39.6
Ben Mitch 27.2 4 69 23.7
Ben Gupta 94.0 79 93 35.6
Ben Raspberry 96.1 93 96 38.6
15
Ben Stefan 82.8 90 92 3.0
Ben Norman 61.7 16 73 6.0
Ben Charles 41.6 71 91 31.5
Ben Armstrong 84.1 55 66 43.7
Ben hello 90.3 2 6 87.7
Ben Dan 19.5 81 86 12.1
Ben Chakarayara 82.4 33 98 52.1
Ben Binzly 67.2 13 36 82.9
Ben Gupta 74.2 39 42 84.3
Ben Huang 83.8 9 42 66.3
Ben HelloWorld 93.6 52 94 3.4
Ben Boi 71.8 51 92 71.0
Ben ChrisJohn 5.7 25 59 18.7
Ben Weaspoppy 55.1 20 82 8.5
Ben Yonas 26.9 42 79 96.5
1
Ben HelloWorld 26.4 0 69 49.6
15
Ben Huang 0.2 47 54 20.3
Ben Mitch 64.8 64 74 57.2
Ben hello 42.1 90 98 78.9
Ben Gupta 10.8 35 98 82.4
Ben Binzly 85.9 43 74 19.9
Ben Amel 18.2 3 40 33.2
Ben Weaspoppy 20.1 46 60 23.3
Ben Malek 72.1 50 76 91.4
Ben Charles 47.6 12 92 90.7
Ben Dan 54.8 11 57 35.9
Ben Boi 77.8 14 72 7.9
Ben Stefan 11.5 11 84 77.5
Ben Chakarayara 37.0 29 61 98.2
Ben Yonas 84.7 38 93 86.4
Ben JohnChris 25.5 32 61 3.6
5
Ben Norman 5.2 95 98 45.6
Ben Huang 56.3 78 92 78.4
Ben hello 23.8 74 78 1.1
