4
10 4
C A
F C
G D
H E
J H
G E
F B
H D
J I
D A
J F
A J
G E
H G
10 5
Carmilla Dracula
Spike Carmilla
Angel Carmilla
Drusilla Carmilla
Armand Lestat
Edward Carlisle
Selene Armand
Lestat Carmilla
Renesmee Edward
Carlisle Lestat
Carmilla Drusilla
Lestat Spike
Renesmee Carmilla
Renesmee Selene
Armand Louis
34 10
Charles_I James_I
Henry James_I
Elizabeth James_I
Charles_I Anne_Denmark
Henry Anne_Denmark
Elizabeth Anne_Denmark
Charles_II Charles_I
Henrietta Charles_I
Mary_Orange Charles_I
James_II Charles_I
Charles_II Henriette
Henrietta Henriette
Mary_Orange Henriette
James_II Henriette
Sophia Elizabeth
Ernest Elizabeth
Sophia Frederick
Ernest Frederick
James_Monmouth Charles_II
James_Monmouth Catherine
William_III Mary_Orange
William_III William_II
Mary Anne_Hyde
Mary James_II
Anne Anne_Hyde
Anne James_II
James_Old James_II
James_Old Maria_Modena
George_I Sophia
George_I Ernest
Charles_Edward James_Old
Henry_Cardinal James_Old
Charles_Edward Maria_Sobieska
Henry_Cardinal Maria_Sobieska
James_I Henry
Mary_Orange Henriette
Sophia Ernest
Anne_Denmark Henrietta
George_I Elizabeth
Charles_I Charles_Edward
Henry_Cardinal James_I
James_Monmouth William_III
Anne Elizabeth
William_II Maria_Sobieska
8 5 
five one
eight three
six two
eight four
seven two
nine five
nine six
ten seven
one two
one three
two ten
twenty forty
nine seven
